"role.SchrodingerCat.name" : "SchrodingerCat"
"role.SchrodingerCat.short" : "Cat"
"role.SchrodingerCat.blurb" : "Killed becomes the role of the killer"
"teams.SchrodingerCat": "Schrödinger's cat"
"options.role.SchrodingerCat.detail" : "Killed becomes the role of the killer"
"role.geniuse.name" : "Geniuse"
"role.geniuse.short" : "Gen"
"role.geniuse.blurb" : "You are a Geniuse"
"role.geniuse.exileText" : "You are a Joker"
"options.role.geniuse.detail" : "If it's an Impostor, you need to be alone to win, if it's neutral it's the equivalent of a Jester, if it's a crew member following the Impostor, you win."
"options.role.geniuse.canBeAwareAssignment" : "Can Be Aware Assignment"
"document.tip.winCond.geniuse.title" : "Geniuse's victory condition"
"document.tip.winCond.geniuse" : "Genius is lonely."

